release_date,title,speaker
2008-04-17,Credit cards,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2008-04-24,Sovereign wealth funds,"Scott G. Alvarez, General Counsel"
2008-06-05,Condition of the banking system,Vice Chairman Donald L. Kohn
2008-06-19,Risk management and its implications for systemic risk,Vice Chairman Donald L. Kohn
2008-07-09,Over-the-counter derivatives,"Patrick M. Parkinson, Deputy Director, Division of Research and Statistics"
2008-07-10,Regulatory restructuring,Chairman Ben S. Bernanke
2008-07-15,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2008-07-17,Equal Credit Opportunity Act,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2008-09-23,U.S. financial markets,Chairman Ben S. Bernanke
2008-09-24,Economic outlook,Chairman Ben S. Bernanke
2008-10-20,Economic outlook and financial markets,Chairman Ben S. Bernanke
2008-10-23,Foreclosure prevention efforts and market stability,Governor Elizabeth A. Duke
2008-11-18,Troubled Asset Relief Program and the Federal Reserve's liquidity facilities,Chairman Ben S. Bernanke
2008-11-20,Effects of the financial crisis on small business,Governor Randall S. Kroszner
2008-11-20,Credit derivatives,"Patrick M. Parkinson, Deputy Director, Division of Research and Statistics"
2009-01-13,Troubled Asset Relief Program,Vice Chairman Donald L. Kohn
2009-02-10,Federal Reserve programs to strengthen credit markets and the economy,Chairman Ben S. Bernanke
2009-02-24,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2009-03-03,Current economic and financial conditions and the federal budget ,Chairman Ben S. Bernanke
2009-03-05,American International Group,Vice Chairman Donald L. Kohn
2009-03-11,Mortgage lending reform,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2009-03-18,Risk management in the banking industry,"Roger T. Cole, Director, Division of Banking Supervision and Regulation"
2009-03-19,Modernizing bank supervision and regulation,Governor Daniel K. Tarullo
2009-03-19,Protections for users of credit cards and overdraft services,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2009-03-20,Enforcement of financial consumer protection laws,Governor Elizabeth A. Duke
2009-03-24,American International Group,Chairman Ben S. Bernanke
2009-03-25,Credit availability and prudent lending standards,Governor Elizabeth A. Duke
2009-04-29,Financial literacy,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
2009-05-05,The economic outlook,Chairman Ben S. Bernanke
2009-05-20,Municipal finance,"David W. Wilcox, Deputy Director, Division of Research and Statistics"
2009-06-03,Current economic and financial conditions and the federal budget,Chairman Ben S. Bernanke
2009-06-11,Executive compensation,"Scott G. Alvarez, General Counsel"
2009-06-22,Over-the-counter derivatives,"Patricia White, Associate Director, Division of Research and Statistics"
2009-06-25,Acquisition of Merrill Lynch by Bank of America,Chairman Ben S. Bernanke
2009-07-09,Commercial real estate,"Jon D. Greenlee, Associate Director, Division of Banking Supervision and Regulation"
2009-07-09,Federal Reserve independence,Vice Chairman Donald L. Kohn
2009-07-16,Consumer protection,Governor Elizabeth A. Duke
2009-07-21,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2009-07-23,Regulatory restructuring,Governor Daniel K. Tarullo
2009-07-24,Regulatory restructuring,Chairman Ben S. Bernanke
2009-08-04,Bank supervision,Governor Daniel K. Tarullo
2009-09-25,Federal Reserve Transparency,"Scott G. Alvarez, General Counsel"
2009-09-30,International cooperation to modernize financial regulation,Governor Daniel K. Tarullo
2009-10-01,Regulatory reform,Chairman Ben S. Bernanke
2009-10-14,State of the banking industry,Governor Daniel K. Tarullo
2009-10-29,Regulatory reform,Governor Daniel K. Tarullo
2009-11-02,Residential and commercial real estate,"Jon D. Greenlee, Associate Director, Division of Banking"
2009-11-30,Small business lending,"Jon D. Greenlee, Associate Director, Division of Banking"
2009-12-03,Confirmation hearing,Chairman Ben S. Bernanke
2010-01-27,Commercial Real Estate,"Jon D. Greenlee, Associate Director, Division of Banking"
2010-02-10,Federal Reserve's exit strategy,Chairman Ben S. Bernanke
2010-02-12,Equipping financial regulators with the tools necessary to monitor systemic risk,Governor Daniel K. Tarullo
2010-02-24,Semiannual Monetary Policy Report to the Congress,Chairman Ben S. Bernanke
2010-02-25,Incentive compensation,"Scott G. Alvarez, General Counsel"
2010-02-26,Small business lending,Governor Elizabeth A. Duke
2010-03-17,The Federal Reserve's role in bank supervision,Chairman Ben S. Bernanke
2010-03-18,Insurance holding company supervision,"Jon D. Greenlee, Associate Director, Division of Banking Supervision and Regulation"
2010-03-24,Credit scoring,"Sandra F. Braunstein, Director, Division of Consumer and Community Affairs"
